6/12/19 13:36,1,Kiran,Raj,kraj3@ucmerced.edu,1,Yes,Yes,8587031253,I agree,,1,ME,1,Probably yes,No thanks,Definitely yes,Probably yes,Probably not,Maybe,No thanks,Probably not,Maybe,Probably not
6/12/19 13:37,1,Shruti,Chakraborty,schakraborty@ucmerced.edu,1,Yes,Yes,0,I agree,,1,ME,1,No thanks,Definitely yes,Probably yes,Maybe,Probably not,No thanks,No thanks,No thanks,Probably not,No thanks
6/17/19 18:52,1,Devanshu,Kumar,dkumar7@ucmerced.edu,1,Yes,Yes,5103209154,I agree,,1,CSE,1,Probably not,Probably not,Definitely yes,No thanks,No thanks,No thanks,No thanks,No thanks,No thanks,No thanks
6/17/19 18:52,1,S1,Kumar1,SK1@ucmerced.edu,,Yes,Yes,0,I agree,,,,1,Probably not,Maybe,No thanks,Probably yes,Probably yes,Probably not,Probably not,Maybe,Probably not,Probably yes
6/17/19 18:52,1,S2,Kumar2,SK2@ucmerced.edu,,Yes,Yes,0,I agree,,,,1,Maybe,Definitely yes,Maybe,No thanks,Probably yes,Probably yes,Probably yes,No thanks,Probably not,No thanks
6/17/19 18:52,1,S3,Kumar3,SK3@ucmerced.edu,,,Yes,,I agree,,,,1,No thanks,Probably not,Definitely yes,Maybe,Definitely yes,Maybe,No thanks,Maybe,Definitely yes,Maybe
6/17/19 18:52,1,S4,Kumar4,SK4@ucmerced.edu,,,Yes,,I agree,,,,1,Probably not,Maybe,Probably yes,Probably not,Maybe,Maybe,Maybe,Probably not,No thanks,Probably not
6/17/19 18:52,1,S6,Kumar6,SK6@ucmerced.edu,,,Yes,,I agree,,,,1,No thanks,Probably not,Maybe,Probably not,Definitely yes,No thanks,Probably not,Definitely yes,Probably not,Definitely yes
6/17/19 18:52,1,S7,Kumar7,SK7@ucmerced.edu,,,Yes,,I agree,,,,1,Definitely yes,Probably not,Probably yes,No thanks,Probably yes,Probably not,Probably yes,Definitely yes,Definitely yes,Probably not
6/17/19 18:52,1,S9,Kumar9,SK9@ucmerced.edu,,,Yes,,I agree,,,,1,No thanks,Definitely yes,Probably not,Probably yes,Maybe,No thanks,Probably not,Probably not,Definitely yes,No thanks
6/17/19 18:52,1,S10,Kumar10,SK10@ucmerced.edu,,,Yes,,I agree,,,,1,Definitely yes,Definitely yes,Definitely yes,No thanks,Probably yes,No thanks,Probably yes,Maybe,Definitely yes,Probably yes
6/17/19 18:52,1,Joe,Biden,biden2@ucmerced.edu,,,Yes,,I agree,,,,1,Probably not,Definitely yes,Probably not,No thanks,No thanks,Probably yes,Probably not,Probably yes,Probably not,Probably yes
6/17/19 18:52,1,Jack,Daniel,daniel1@ucmerced.edu,,,Yes,,I agree,,,,1,Maybe,Probably yes,Probably yes,Probably yes,Definitely yes,Definitely yes,Definitely yes,No thanks,Definitely yes,Probably yes
6/17/19 18:52,1,Max,Fallor,fallor1@ucmerced.edu,,,Yes,,I agree,,,,1,Probably not,Probably not,Definitely yes,Maybe,Definitely yes,Probably not,No thanks,Maybe,No thanks,Probably yes
6/17/19 18:52,1,Dev,Kumran,kumaran@ucmerced.edu,,,Yes,,I agree,,,,1,No thanks,No thanks,Probably yes,Maybe,Definitely yes,Maybe,Probably not,Maybe,Probably not,Definitely yes
6/17/19 18:52,1,Shruti,Chalk,chalk@ucmerced.edu,,,Yes,,I agree,,,,1,Definitely yes,No thanks,Probably not,Definitely yes,No thanks,Maybe,No thanks,Probably not,Definitely yes,No thanks
6/17/19 18:52,1,Kiran,Raja,kraj@ucmerced.edu,,,Yes,,I agree,,,,1,Probably not,Probably yes,Probably not,Definitely yes,Definitely yes,Definitely yes,Probably not,Definitely yes,No thanks,Probably yes
